取引番号,取引原資産,オプションの種類,方向," 取引内容 ","ステータス ",購入,"ペイアウト ","判定レート "," 取引時間 "," 終了時刻 "
737186956,AUD/JPY," HighLow ",HIGH,85.779,取引終了,"￥1,000","￥1,850",85.796,"2021/11/02 11:01:02","2021/11/02 11:05:00"
737011999,USD/CAD," HighLow ",LOW,1.23936,取引終了,"￥4,000","￥7,400",1.23879,"2021/11/01 23:04:48","2021/11/01 23:10:00"
736989657,GBP/USD," HighLow ",HIGH,1.36804,取引終了,"￥3,000","￥5,550",1.36818,"2021/11/01 22:29:58","2021/11/01 22:35:00"
736913280,GBP/AUD," HighLow ",HIGH,1.81834,取引終了,"￥1,000","￥1,800",1.81936,"2021/11/01 20:29:14","2021/11/01 20:35:00"
736913232,GBP/AUD," HighLow ",HIGH,1.81834,取引終了,"￥1,000","￥1,800",1.81936,"2021/11/01 20:29:09","2021/11/01 20:35:00"
736883556,CHF/JPY," HighLow ",HIGH,124.775,取引終了,"￥3,000","￥5,550",124.777,"2021/11/01 19:30:31","2021/11/01 19:35:00"
736861483,EUR/AUD," HighLow ",HIGH,1.54148,取引終了,"￥2,000",---,1.54136,"2021/11/01 18:39:00","2021/11/01 18:45:00"
736844743,GBP/AUD," HighLow ",HIGH,1.82053,取引終了,"￥2,000",---,1.82003,"2021/11/01 18:00:54","2021/11/01 18:10:00"
736838877,CHF/JPY," HighLow ",HIGH,124.717,取引終了,"￥2,000","￥3,700",124.718,"2021/11/01 17:58:50","2021/11/01 18:05:00"
736826034,GBP/JPY," Turbo ",LOW,156.474,取引終了,"￥1,000","￥1,850",156.400,"2021/11/01 17:30:59","2021/11/01 17:35:59"
736825617,GBP/JPY," Turbo ",LOW,156.448,取引終了,"￥1,000","￥1,850",156.399,"2021/11/01 17:30:02","2021/11/01 17:35:02"
736811837,GBP/USD," HighLow ",LOW,1.36641,取引終了,"￥2,000","￥3,700",1.36637,"2021/11/01 17:01:44","2021/11/01 17:10:00"
736808505,EUR/JPY," HighLow ",LOW,132.312,取引終了,"￥2,000",---,132.316,"2021/11/01 16:58:02","2021/11/01 17:05:00"
736804369,GBP/JPY," HighLow ",HIGH,156.122,取引終了,"￥2,000","￥3,700",156.194,"2021/11/01 16:51:43","2021/11/01 17:00:00"
