取引番号,取引原資産,オプションの種類,方向," 取引内容 ","ステータス ",購入,"ペイアウト ","判定レート "," 取引時間 "," 終了時刻 "
739818645,NZD/USD," HighLow ",HIGH,0.71279,取引終了,"￥4,000",---,0.71205,"2021/11/10 00:05:03","2021/11/10 00:10:00"
739815597,USD/CAD," HighLow ",LOW,1.24711,取引終了,"￥4,000",---,1.24822,"2021/11/10 00:02:36","2021/11/10 00:10:00"
739811234,AUD/JPY," HighLow ",HIGH,83.357,取引終了,"￥4,000",---,83.318,"2021/11/09 23:59:02","2021/11/10 00:05:00"
739807026,GBP/JPY," HighLow ",HIGH,152.894,取引終了,"￥4,000",---,152.877,"2021/11/09 23:55:09","2021/11/10 00:00:00"
739806834,CAD/JPY," HighLow ",HIGH,90.562,取引終了,"￥4,000",---,90.527,"2021/11/09 23:55:05","2021/11/10 00:00:00"
739806590,CAD/JPY," HighLow ",HIGH,90.557,取引終了,"￥4,000",---,90.527,"2021/11/09 23:55:02","2021/11/10 00:00:00"
739805918,CHF/JPY," HighLow ",HIGH,123.605,取引終了,"￥4,000",---,123.586,"2021/11/09 23:54:59","2021/11/10 00:00:00"
739776522,EUR/USD," HighLow ",LOW,1.16000,取引終了,"￥1,000","￥1,850",1.15991,"2021/11/09 23:03:49","2021/11/09 23:05:00"
739774362,CHF/JPY," HighLow ",LOW,123.638,取引終了,"￥1,000",---,123.668,"2021/11/09 23:00:34","2021/11/09 23:05:00"
739773747,EUR/USD," HighLow ",LOW,1.15958,取引終了,"￥4,000",---,1.15991,"2021/11/09 23:00:06","2021/11/09 23:05:00"
739575994,AUD/JPY," Turbo ",LOW,83.818,取引終了,"￥3,000","￥5,700",83.812,"2021/11/09 16:01:57","2021/11/09 16:04:57"
739575532,EUR/AUD," HighLow ",HIGH,1.56236,取引終了,"￥1,000","￥1,850",1.56238,"2021/11/09 16:01:08","2021/11/09 16:05:00"
739575523,EUR/AUD," HighLow ",HIGH,1.56237,取引終了,"￥1,000","￥1,850",1.56238,"2021/11/09 16:01:06","2021/11/09 16:05:00"
739575507,EUR/AUD," HighLow ",HIGH,1.56242,取引終了,"￥1,000",---,1.56238,"2021/11/09 16:01:05","2021/11/09 16:05:00"
739532134,USD/JPY," HighLow ",HIGH,112.741,取引終了,"￥3,000","￥5,550",112.746,"2021/11/09 14:06:31","2021/11/09 14:10:00"
739531145,USD/JPY," HighLow ",HIGH,112.761,取引終了,"￥4,000",---,112.746,"2021/11/09 14:05:04","2021/11/09 14:10:00"
739487533,CAD/JPY," HighLow ",HIGH,90.639,取引終了,"￥4,000","￥7,400",90.646,"2021/11/09 12:15:42","2021/11/09 12:20:00"
739487425,GBP/AUD," HighLow ",LOW,1.83385,取引終了,"￥4,000",---,1.83409,"2021/11/09 12:15:36","2021/11/09 12:20:00"
739487345,GBP/JPY," HighLow ",HIGH,153.079,取引終了,"￥4,000","￥7,400",153.083,"2021/11/09 12:15:32","2021/11/09 12:20:00"
739487268,AUD/JPY," HighLow ",HIGH,83.462,取引終了,"￥4,000","￥7,400",83.465,"2021/11/09 12:15:28","2021/11/09 12:20:00"
739487172,NZD/JPY," HighLow ",HIGH,80.775,取引終了,"￥4,000","￥7,400",80.778,"2021/11/09 12:15:25","2021/11/09 12:20:00"
739487086,EUR/AUD," HighLow ",LOW,1.56708,取引終了,"￥4,000","￥7,400",1.56703,"2021/11/09 12:15:21","2021/11/09 12:20:00"
739486991,EUR/JPY," HighLow ",HIGH,130.787,取引終了,"￥4,000","￥7,400",130.793,"2021/11/09 12:15:17","2021/11/09 12:20:00"
739458182,CAD/JPY," HighLow ",HIGH,90.863,取引終了,"￥3,000","￥5,550",90.868,"2021/11/09 11:03:15","2021/11/09 11:05:00"
